algorithm_config_hash,assigned_count,completed,completed_by_agent,completed_seconds,completed_step,completion_quality,condition,deadline_seconds,deadline_step,demand_kg,failed,failed_reason,failed_step,family,final_status,first_assigned_step,first_service_step,formal_lb_id,fulfilled_mass_kg,last_assigned_step,lifeline_final,lifeline_init,method,nearest_truck_distance_start,nearest_uav_or_truck_distance_start,on_time,public_environment_hash,remaining_demand_kg,remaining_lifeline_at_service,scenario,seed,service_start_count,task_class,task_id,task_kind,truck_reachable,uav_eventual_serviceable,urgency_score
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,83,1,truck_0,3180.0,159,1.0,conditional_truck_tc,20400.0,1020,800.0,0,,-1,E6,delivered,72,159,LB-v1-20260822,800.0,154,86.51262414799106,100.0,C-ALNS-MP,7442.506245460831,7442.506245460831,1,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,0.0,86.51262414799106,LB,102,1,routine_bulk,task_routine_bulk_1,normal,1,0,0.24547112032784654
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,215,0,None,-1.0,-1,0.0,conditional_truck_tc,21600.0,1080,800.0,1,deadline_exceeded,1081,E6,failed,0,-1,LB-v1-20260822,0.0,214,2.8465075966141518,100.0,C-ALNS-MP,5688.3871828179535,5688.3871828179535,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,800.0,0.0,LB,102,0,routine_bulk,task_routine_bulk_2,normal,1,0,0.3976042905163367
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,108,0,None,-1.0,-1,0.0,conditional_truck_tc,22800.0,1140,800.0,1,lifeline_zero,936,E6,failed,0,-1,LB-v1-20260822,0.0,202,0.0,100.0,C-ALNS-MP,5530.50432997441,5530.50432997441,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,800.0,0.0,LB,102,0,routine_bulk,task_routine_bulk_3,normal,1,0,0.5908338171405074
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,131,0,None,-1.0,-1,0.0,conditional_truck_tc,24000.0,1200,800.0,1,lifeline_zero,1198,E6,failed,84,-1,LB-v1-20260822,0.0,214,0.0,100.0,C-ALNS-MP,14165.534902512349,14165.534902512349,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,800.0,0.0,LB,102,0,routine_bulk,task_routine_bulk_4,normal,1,0,0.31826058549111486
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,95,1,truck_0,3580.0,179,1.0,conditional_truck_tc,25200.0,1260,800.0,0,,-1,E6,delivered,84,179,LB-v1-20260822,800.0,178,83.88453402840197,100.0,C-ALNS-MP,8329.032619537471,8329.032619537471,1,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,0.0,83.88453402840197,LB,102,1,routine_bulk,task_routine_bulk_5,normal,1,0,0.316760490021223
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,44,1,truck_0,880.0,44,1.0,conditional_truck_tc,26400.0,1320,800.0,0,,-1,E6,delivered,0,44,LB-v1-20260822,800.0,43,95.46808063072315,100.0,C-ALNS-MP,2207.167531132571,2207.167531132571,1,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,0.0,95.46808063072315,LB,102,1,routine_bulk,task_routine_bulk_6,normal,1,0,0.3055363954601743
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,24,0,None,-1.0,-1,0.0,conditional_truck_tc,27600.0,1380,800.0,1,lifeline_zero,1066,E6,failed,48,-1,LB-v1-20260822,0.0,71,0.0,100.0,C-ALNS-MP,8538.945436848508,8538.945436848508,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,800.0,0.0,LB,102,0,routine_bulk,task_routine_bulk_7,normal,1,0,0.44156154877026366
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,13,1,uav_3,3360.0,168,1.0,conditional_truck_tc,12000.0,600,50.0,0,,-1,E6,delivered,155,168,LB-v1-20260822,50.0,167,40.881205475261034,100.0,C-ALNS-MP,2988.5323177974346,2988.5323177974346,1,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,0.0,40.881205475261034,LB,102,1,time_critical_lightweight,task_time_critical_lightweight_0,emergency,0,1,0.7521593742751356
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,36,0,None,-1.0,-1,0.0,conditional_truck_tc,13560.0,678,50.0,1,lifeline_zero,306,E6,failed,179,-1,LB-v1-20260822,0.0,214,0.0,100.0,C-ALNS-MP,11294.290080097262,11294.290080097262,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,50.0,0.0,LB,102,0,time_critical_lightweight,task_time_critical_lightweight_1,emergency,0,1,0.7491376000307091
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,176,1,uav_0,3520.0,176,1.0,conditional_truck_tc,13200.0,660,50.0,0,,-1,E6,delivered,0,176,LB-v1-20260822,50.0,175,35.955423730344364,100.0,C-ALNS-MP,2792.418565959796,2792.418565959796,1,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,0.0,35.955423730344364,LB,102,1,time_critical_lightweight,task_time_critical_lightweight_2,emergency,0,1,0.8083948419266088
