scenario,seed,task_id,task_class,urgency_score,deadline_seconds,completed,completed_seconds,failed,failed_reason,final_status,completed_by_agent
L,103,task_time_critical_lightweight_4,time_critical_lightweight,0.8793174987113003,14400.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_5,time_critical_lightweight,0.7453071219044164,15960.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_6,time_critical_lightweight,0.9405001457932692,16560.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_7,time_critical_lightweight,0.9967292359223714,17160.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_8,time_critical_lightweight,0.956249863078559,16800.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_9,time_critical_lightweight,0.99615912292639,17400.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_10,time_critical_lightweight,0.7679542876123209,18000.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_11,time_critical_lightweight,0.8558745641192899,18600.0,0,-1.0,1,lifeline_zero,failed,
LB,103,task_routine_bulk_0,routine_bulk,0.348426191734089,19200.0,1,3720.0,0,,delivered,truck_1
LB,103,task_routine_bulk_1,routine_bulk,0.3626311214346148,20400.0,1,1640.0,0,,delivered,truck_2
LB,103,task_routine_bulk_2,routine_bulk,0.2286076250167087,21600.0,1,1820.0,0,,delivered,truck_0
LB,103,task_routine_bulk_3,routine_bulk,0.2034184950310708,22800.0,1,960.0,0,,delivered,truck_1
LB,103,task_routine_bulk_4,routine_bulk,0.3319591618543233,24000.0,1,420.0,0,,delivered,truck_2
LB,103,task_routine_bulk_5,routine_bulk,0.3837354804247379,25200.0,1,6080.0,0,,delivered,truck_3
LB,103,task_routine_bulk_6,routine_bulk,0.2966755787240177,26400.0,1,840.0,0,,delivered,truck_2
LB,103,task_routine_bulk_7,routine_bulk,0.4682278001689124,27600.0,1,1080.0,0,,delivered,truck_0
LB,103,task_time_critical_lightweight_0,time_critical_lightweight,0.9539752519885072,12000.0,0,-1.0,1,lifeline_zero,failed,
LB,103,task_time_critical_lightweight_1,time_critical_lightweight,0.9948079019505544,12600.0,0,-1.0,1,lifeline_zero,failed,
LB,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7377905179466021,13200.0,0,-1.0,1,lifeline_zero,failed,
LB,103,task_time_critical_lightweight_3,time_critical_lightweight,0.993001467773675,13800.0,0,-1.0,1,lifeline_zero,failed,
