scenario,method,seed,completed_tasks,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,weighted_service_score,runtime_seconds
RB,ER-HLNS-PR,105,20,1.0,1.0,1.0,1611.49253731343,0.886278880597014,77.6091369000001
RB,ER-HLNS-PR,106,20,1.0,1.0,1.0,1653.88059701493,0.886278880597014,98.2510781
RB,ER-HLNS-PR,107,18,0.9,0.75,1.0,4231.79104477612,0.826577388059701,314.7170341
RB,ER-HLNS-PR,108,20,1.0,1.0,1.0,1744.62686567164,0.886278880597014,124.9766204
RB,ER-HLNS-PR,109,20,1.0,1.0,1.0,1579.85074626866,0.886278880597014,99.3788015
RB,Greedy,100,18,0.9,1.0,0.833333333333333,7938.65671641791,0.74322514925373,63.8879069
RB,Greedy,101,19,0.95,1.0,0.916666666666667,4990.37313432836,0.7667948880597,49.0824268
RB,Greedy,102,17,0.85,1.0,0.75,11021.2686567164,0.727749440298507,264.9038619
RB,Greedy,103,16,0.8,1.0,0.666666666666667,13909.6268656716,0.686979888059701,256.9517661
RB,Greedy,104,15,0.75,0.875,0.666666666666667,15075.0,0.657129141791044,147.3058293
RB,Greedy,105,16,0.8,1.0,0.666666666666667,13771.4925373134,0.685968134328358,259.910203
RB,Greedy,106,17,0.85,1.0,0.75,11197.2388059701,0.724916529850746,274.9475529
RB,Greedy,107,17,0.85,0.875,0.833333333333333,9401.94029850746,0.732800074626865,268.7136252
RB,Greedy,108,17,0.85,1.0,0.75,10934.776119403,0.725928283582089,256.8517174
RB,Greedy,109,17,0.85,1.0,0.75,10627.0895522388,0.728154141791044,241.3437077
RB,PG,100,15,0.75,1.0,0.583333333333333,17131.0447761194,0.573566417910447,255.6137196
RB,PG,101,15,0.75,1.0,0.583333333333333,17993.8805970149,0.553736044776119,255.8606958
RB,PG,102,15,0.75,1.0,0.583333333333333,17901.1194029851,0.546249067164178,273.1507451
RB,PG,103,13,0.65,1.0,0.416666666666667,23740.223880597,0.523796380597015,271.7947663
RB,PG,104,13,0.65,0.875,0.5,21542.1641791045,0.519741231343283,274.0045062
RB,PG,105,14,0.7,1.0,0.5,20574.4029850746,0.5285475,264.3955082
RB,PG,106,14,0.7,1.0,0.5,20975.671641791,0.542914402985074,289.4358435
RB,PG,107,13,0.65,0.75,0.583333333333333,20157.3134328358,0.494439253731343,286.7569262
RB,PG,108,14,0.7,1.0,0.5,20975.5970149254,0.54959197761194,274.5572088
RB,PG,109,14,0.7,1.0,0.5,20176.1940298507,0.541497947761194,247.1605711
